Question,Option_1,Option_2,Option_3,Option_4
I often feel nervous or on edge.,Strongly Disagree,Disagree,Agree,Strongly Agree
I have trouble relaxing.,Strongly Disagree,Disagree,Agree,Strongly Agree
I worry excessively about various aspects of my life.,Strongly Disagree,Disagree,Agree,Strongly Agree
I have difficulty concentrating due to worrying thoughts.,Strongly Disagree,Disagree,Agree,Strongly Agree
"I frequently experience physical symptoms such as sweating, trembling, or a racing heart when I'm anxious.",Strongly Disagree,Disagree,Agree,Strongly Agree
I avoid certain situations or activities because they make me anxious.,Strongly Disagree,Disagree,Agree,Strongly Agree
I often feel irritable or on edge.,Strongly Disagree,Disagree,Agree,Strongly Agree
I have trouble falling or staying asleep due to worrying thoughts.,Strongly Disagree,Disagree,Agree,Strongly Agree
I frequently feel tense or keyed up.,Strongly Disagree,Disagree,Agree,Strongly Agree
I experience panic attacks or sudden feelings of intense fear or discomfort.,Strongly Disagree,Disagree,Agree,Strongly Agree
I have difficulty controlling my worries.,Strongly Disagree,Disagree,Agree,Strongly Agree
I often feel fatigued or exhausted due to worrying thoughts.,Strongly Disagree,Disagree,Agree,Strongly Agree
I find it hard to relax even when there's no obvious reason to be anxious.,Strongly Disagree,Disagree,Agree,Strongly Agree
"I experience muscle tension, headaches, or stomachaches due to anxiety.",Strongly Disagree,Disagree,Agree,Strongly Agree
I worry excessively about making mistakes or what others think of me.,Strongly Disagree,Disagree,Agree,Strongly Agree
